"num","cc","subversion","WI","GE","BR"
"6","GM",1,"","","GMBR60FL.DTA"
"4","GN",1,"GNWI41FL.DTA","GNGE42FL.shp","GNBR41FL.dta"
"5","GN",1,"","GNGE52FL.shp","gnbr52fl.dta"
"6","GN",1,"","GNGE61FL.shp","GNBR62FL.DTA"
"4","GO",1,"","","GOBR42FL.dta"
"0","GU",1,"","","GUBR01FL.dta"
"3","GU",1,"GUWI33FL.DTA","","GUBR34FL.dta"
"4","GU",1,"GUWI42FL.DTA","","GUBR41FL.dta"
"7","GU",1,"","GUGE71FL.shp","GUBR71FL.DTA"
"5","GY",1,"","","GYBR51FL.DTA"
"5","GY",3,"","GYGE5JFL.shp","GYBR5IFL.DTA"
"5","HN",1,"","","HNBR52FL.DTA"
"6","HN",1,"","HNGE61FL.shp","HNBR62FL.DTA"
"4","HP",1,"","","HPBR42FL.dta"
"4","HR",1,"","","HRBR42FL.dta"
"3","HT",1,"HTWI31FL.DTA","","HTBR31FL.dta"
"4","HT",1,"HTwi42fl.dta","HTGE42FL.shp","HTBR42FL.dta"
"5","HT",1,"","HTGE52FL.shp","HTBR52FL.DTA"
"6","HT",1,"","HTGE61FL.shp","HTBR61FL.DTA"
"7","HT",1,"","HTGE71FL.shp","HTBR70FL.DTA"
"2","IA",1,"IAWI22FL.DTA","","IABR23FL.DTA"
"4","IA",1,"IAWI41FL.DTA","","IABR42FL.dta"
"5","IA",1,"","","IABR52FL.dta"
"7","IA",1,"","IAGE71FL.shp","IABR74FL.DTA"
"0","ID",1,"","","IDBR01FL.dta"
"2","ID",1,"","","IDBR21FL.dta"
"3","ID",1,"","","IDBR31FL.dta"
"3","ID",2,"IDWI3AFL.DTA","","IDBR3AFL.dta"
"4","ID",1,"","IDGE43FL.shp","IDBR42FL.DTA"
"5","ID",1,"","","IDBR51FL.DTA"
"6","ID",1,"","","IDBR63FL.DTA"
"7","ID",1,"","","IDBR71FL.DTA"
"4","JM",1,"","","JMBR42FL.dta"
"2","JO",1,"JOWI21FL.DTA","","JOBR21FL.dta"
"3","JO",1,"JOWI31FL.DTA","","JOBR31FL.dta"
"4","JO",1,"JOWI41FL.DTA","JOGE43FL.shp","JOBR42FL.dta"
"5","JO",1,"","JOGE52FL.shp","JOBR51FL.DTA"
"6","JO",1,"","","JOBR61FL.DTA"
"6","JO",2,"","JOGE6AFL.shp","JOBR6CFL.DTA"
"7","JO",1,"","JOGE71FL.shp","JOBR71FL.DTA"
"4","KA",1,"","","KABR42FL.dta"
"0","KE",1,"","","KEBR03FL.dta"
"3","KE",1,"KEWI31FL.DTA","","KEBR33FL.dta"
"3","KE",2,"KEWI3AFL.DTA","","KEBR3AFL.dta"
"4","KE",1,"","KEGE43FL.shp","KEBR42FL.DTA"
"5","KE",1,"","KEGE52FL.shp","KEBR52FL.DTA"
"7","KE",1,"","KEGE71FL.shp","KEBR71FL.DTA"
"7","KE",2,"","KEGE7AFL.shp",""
"4","KH",1,"KHWI41FL.DTA","KHGE43FL.shp","KHBR42FL.dta"
"5","KH",1,"","KHGE51FL.shp","KHBR51FL.DTA"
"6","KH",1,"","KHGE62FL.shp","KHBR61FL.DTA"
"7","KH",1,"","KHGE71FL.shp","KHBR73FL.DTA"
"3","KK",1,"KKWI31FL.DTA","","KKBR31FL.dta"
"4","KK",1,"KKwi42fl.dta","","KKBR42FL.DTA"
"3","KM",1,"KMWI32FL.DTA","","KMBR32FL.dta"
"6","KM",1,"","KMGE61FL.shp","KMBR61FL.DTA"
"3","KY",1,"KYWI31FL.DTA","","KYBR31FL.dta"
"6","KY",1,"","KYGE61FL.shp","KYBR61FL.DTA"
